"11j1 -- Vuosittaiset yöpymiset ja saapuneet vieraat majoitusliikkeissä, 1995-2025*"

"Maakunta";"Maa";"Majoitusliikkeen tyyppi";"2024 Yöpymiset, lkm"
"Lappi";"Suomi";"Kaikki majoitusliikkeet";1394956
"Lappi";"Ruotsi";"Kaikki majoitusliikkeet";35387
"Lappi";"Saksa";"Kaikki majoitusliikkeet";217158
"Lappi";"Britannia";"Kaikki majoitusliikkeet";325574
"Lappi";"Norja";"Kaikki majoitusliikkeet";49289
"Lappi";"Italia";"Kaikki majoitusliikkeet";80209
"Lappi";"Ranska";"Kaikki majoitusliikkeet";241808
"Lappi";"Japani";"Kaikki majoitusliikkeet";24544
"Lappi";"Espanja";"Kaikki majoitusliikkeet";68071
