"11iz -- Monthly nights spent and arrivals by country of residence, 1995M01-2025M03*"

"Region";"Country";"Type of accommodation establishment";"2017M01 Nights spent";"2017M02 Nights spent";"2017M03 Nights spent";"2017M04 Nights spent";"2017M05 Nights spent";"2017M06 Nights spent";"2017M07 Nights spent";"2017M08 Nights spent";"2017M09 Nights spent";"2017M10 Nights spent";"2017M11 Nights spent";"2017M12 Nights spent";"2018M01 Nights spent";"2018M02 Nights spent";"2018M03 Nights spent";"2018M04 Nights spent";"2018M05 Nights spent";"2018M06 Nights spent";"2018M07 Nights spent";"2018M08 Nights spent";"2018M09 Nights spent";"2018M10 Nights spent";"2018M11 Nights spent";"2018M12 Nights spent";"2019M01 Nights spent";"2019M02 Nights spent";"2019M03 Nights spent";"2019M04 Nights spent";"2019M05 Nights spent";"2019M06 Nights spent";"2019M07 Nights spent";"2019M08 Nights spent";"2019M09 Nights spent";"2019M10 Nights spent";"2019M11 Nights spent";"2019M12 Nights spent";"2020M01 Nights spent";"2020M02 Nights spent";"2020M03 Nights spent";"2020M04 Nights spent";"2020M05 Nights spent";"2020M06 Nights spent";"2020M07 Nights spent";"2020M08 Nights spent";"2020M09 Nights spent";"2020M10 Nights spent";"2020M11 Nights spent";"2020M12 Nights spent";"2021M01 Nights spent";"2021M02 Nights spent";"2021M03 Nights spent";"2021M04 Nights spent";"2021M05 Nights spent";"2021M06 Nights spent";"2021M07 Nights spent";"2021M08 Nights spent";"2021M09 Nights spent";"2021M10 Nights spent";"2021M11 Nights spent";"2021M12 Nights spent";"2022M01 Nights spent";"2022M02 Nights spent";"2022M03 Nights spent";"2022M04 Nights spent";"2022M05 Nights spent";"2022M06 Nights spent";"2022M07 Nights spent";"2022M08 Nights spent";"2022M09 Nights spent";"2022M10 Nights spent";"2022M11 Nights spent";"2022M12 Nights spent";"2023M01 Nights spent";"2023M02 Nights spent";"2023M03 Nights spent";"2023M04 Nights spent";"2023M05 Nights spent";"2023M06 Nights spent";"2023M07 Nights spent";"2023M08 Nights spent";"2023M09 Nights spent";"2023M10 Nights spent";"2023M11 Nights spent";"2023M12 Nights spent"
"Lapland";"Finland";"All accommodation establishments";71163;102916;207981;204150;39877;88480;168801;127677;176177;64911;81933;95316;73736;106651;204408;192169;44257;93287;175466;127094;178249;69053;77812;90160;74327;103777;192494;198792;51584;107618;183005;138972;178221;78865;84633;102183;87883;126185;127535;18654;17573;77517;209479;142333;189520;82794;67112;130096;103177;133483;176830;163874;44651;137987;273955;185782;246295;102997;89302;130111;99959;133263;226316;216383;49802;117310;193257;147965;204951;87740;87626;110749;102544;122153;209076;193194;50210;122844;199050;140411;200361;86586;83022;93084
"Lapland";"Foreign countries";"All accommodation establishments";238926;245707;181148;49753;23367;60025;93381;66143;32383;29905;88941;370012;254278;267547;210471;50905;17064;54184;82741;67445;30789;33830;94961;399280;268204;284225;219717;52653;37683;60357;75370;63154;31696;35019;91564;407669;295694;288631;119235;669;736;4325;19909;15406;8615;3760;9298;9482;6765;11359;9813;4223;2740;8275;17249;27336;20796;17727;67332;363178;212169;237482;179351;32494;10145;41706;61795;52114;26975;29050;101333;446056;294934;310731;224498;45110;19847;50377;66961;53612;32347;38869;132208;476541
